sample_id,status,api_status,expected_category,extracted_category,category_match,document_type,date,source_file,source_title,vendor_name,vendor_phone,vendor_email,property_address,project_name,work_type,area_of_home,value_signal,work_performed,materials,labor_summary,warranty,permit_number,follow_up,resale_value_note,subtotal,tax,total,currency,item_count,confidence_score,notes,elapsed_ms,source_url,error
S01,ok_text_fallback,200,Roofing,Roofing,yes,invoice,2019-09-12,highland-roofing-sample-invoice.pdf,Highland Roofing Company Sample Invoice,Highland Roofing Company - Raleigh,844 794 8313,service@highlandroofingcompany.com,,Roof Leak and Seam Repairs,Roofing Repair,Roof,repair,"Repaired punctures, rips, and tears by cleaning the area, installing new waterproofing membrane, and sealing per industry standards. Removed old caulk/sealant, cleaned the area, and installed new sealant. Cleaned and sealed open seams in the waterproofing membrane per industry standards.",waterproofing membrane; sealant,,,,,"This record demonstrates essential roof maintenance and repairs, indicating the roof's integrity has been addressed.",547.17,41.04,588.21,USD,1,1,Original PDF inline Gemini calls returned repeated 503 high-demand errors; this row used pdftotext text layer plus Gemini structured extraction fallback. | Invoice #999999AM. Contact Rick Jones at service@highlandroofingcompany.com for questions. Payment terms: Invoices over 30 days past due will be subject to a 1.5% finance charge. MasterCard and Visa are accepted with an additional 3.5% surcharge.,9908,https://www.highlandroofingcompany.com/wp-content/uploads/2020/08/Highland-Roofing-Sample-Invoice.pdf,
S02,ok,200,HVAC,HVAC,yes,invoice,,eforms-hvac-invoice-template.pdf,eForms HVAC Invoice Template,,,,,HVAC Service,HVAC,,maintenance,,,,,,,"This record indicates general HVAC service or repair, which is important for maintaining the home's climate control system.",0,0,0,USD,0,0.2,This is an HVAC invoice template with no specific service details or amounts filled in.,5566,https://eforms.com/download/2016/10/hvac-invoice-template.pdf,
S03,ok,200,General Maintenance,General Maintenance,yes,invoice,,eforms-handyman-contractor-invoice-template.pdf,eForms Handyman Contractor Invoice Template,HANDYMAN (CONTRACTOR),,,,,,,unknown,,,,,,,,0,0,0,,0,0.1,This is a blank invoice template. No specific service details or financial figures are available.,4209,https://eforms.com/download/2016/10/handyman-contractor-invoice-template.pdf,
S04,ok,200,Plumbing,Plumbing,yes,invoice,,template-net-plumbing-invoice-format.pdf,Template.net Plumbing Contractor Invoice Template,,,,,General Plumbing Services,Plumbing,,unknown,,,,,,,,0,0,0,GBP,0,0.6,"This document is a template for a plumbing contractor invoice and does not contain specific job details, dates, addresses, or financial figures. All specific fields are left blank or set to 0 accordingly.",10043,https://images.template.net/wp-content/uploads/2015/10/31195708/plumbing-invoice-format.pdf,
S05,ok,200,Roofing,Roofing,yes,invoice,,eforms-roofing-invoice-template.pdf,eForms Roofing Invoice Template,,,,,,Roofing,Exterior - Roof,unknown,,,,,,,"This record documents a roofing service, which is important for the property's structural integrity and long-term value.",0,0,0,,0,0.5,This is a blank roofing invoice template with no specific service details or financial information.,6797,https://eforms.com/images/2016/10/roofing-invoice-template.pdf,
S06,ok,200,HVAC,HVAC,yes,invoice,,smartsheet-hvac-invoice-template.pdf,Smartsheet HVAC Invoice Template,,,,,,HVAC,,unknown,,,,,,,,0,0,0,,0,0.1,This is an HVAC invoice template with no specific job details or financial information filled in.,9897,https://www.smartsheet.com/sites/default/files/2020-03/IC-HVAC-Invoice-Template-10768_PDF.pdf,
S08,ok,200,Plumbing,Plumbing,yes,invoice,,eforms-plumbing-invoice-template.pdf,eForms Plumbing Invoice Template,,,,,,Plumbing,,unknown,,,,,,,"This record documents a plumbing service, which is important for tracking the home's maintenance history.",0,0,0,USD,0,0.5,"This is a blank plumbing invoice template. It includes sections for Bill From and Bill To details, invoice number, date, and a table for description, quantity, price, and total. Payment terms are mentioned for late invoices.",6733,https://eforms.com/download/2016/10/plumbing-invoice-template.pdf,
S09,ok,200,General Maintenance,General Maintenance,yes,invoice,,covert-township-home-repair-invoice-form.pdf,Covert Township Home Repair Invoice Form,COVERT TOWNSHIP SENIOR MILLAGE,,,,Home Repair Service,,,unknown,This is a template for home repair services; no specific work details are provided.,,,,,,"This record, once completed, would document a home repair service, contributing to the property's maintenance history.",0,0,0,USD,0,0.8,"This is a blank template for a home repair service invoice from Covert Township Senior Millage. No specific service details, dates, or amounts are filled in. The revision date of the form is 2023-05-31.",14845,https://coverttwp.com/wp-content/uploads/2025/04/Home-Repair-INVOICE-Form-1-Fillable.pdf,
S10,ok,200,Plumbing,Plumbing,yes,other,,smartsheet-plumbing-invoice-template.pdf,Smartsheet Plumbing Invoice Template,,,,,,Plumbing,,unknown,,,,,,,,0,0,0,,0,0.1,This document is a plumbing invoice template and does not contain any specific service or financial data. Most fields are empty as no information was filled into the template.,4626,https://www.smartsheet.com/sites/default/files/IC-Plumbing-Invoice-9173-PDF.pdf,
S11,ok,200,Roofing,Roofing,yes,invoice,,smartsheet-roofing-construction-invoice-template.pdf,Smartsheet Roofing Construction Invoice Template,,,,,,Roofing,Exterior,unknown,,,,,,,,0,0,0,,0,0.1,This is a blank invoice template for roofing construction. No specific work or financial details are available.,4975,https://www.smartsheet.com/sites/default/files/2025-03/IC-Roofing-Construction-Invoice-Template-12350_PDF.pdf,
